index,id,item,parent
PR-01-01-01,JkxiJUs,"Consider what is meant by acting with honesty and integrity toward patients and society, and behave accordingly (c.f. considering conflict of interest).",JnIA6vg
PR-01-01-02,JkxiJUw,"Consider what behaviors are expected of a member of a professional body in order to be trusted by society, and act accordingly.",JnIA6vg
PR-01-02-01,JkxiJU4,Appropriately recognize one’s own limitations and act accordingly.,JnIA6vk
PR-01-02-02,JkxiJU8,Accept feedback from others appropriately.,JnIA6vk
PR-02-01-01,JkxiJVI,"Treat others, including patients, with compassion.",JnIA6vs
PR-02-01-02,JkxiJVM,Consider the causes and context when one fails to treat others compassionately.,JnIA6vs
PR-02-02-01,JkxiJVU,"Strive to understand others, recognizing the limits of one’s own imagination.",JnIA6vw
PR-02-02-02,JkxiJVY,"Consider and be aware of one’s own prejudices and those held as a group that may act as obstacles to understanding others, and act accordingly.",JnIA6vw
PR-02-03-01,Jk3v49g,"Consider what is meant by dignity and why it is expected of physicians, and strive to act accordingly.",JnIA6v4
PR-02-03-02,JkxiJVc,Behave with courtesy.,JnIA6v4
PR-03-01-01,Jli6cfw,Acquire an appropriately broad education that befits a physician’s deep involvement in people’s lives.,JnIA6wE
PR-03-01-02,Jli6cf4,Continue to contemplate questions that have no definitive answers.,JnIA6wE
PR-04-01-01,JnNYL4E,Understand an overview of ethical issues related to life and death.,JnIA6wI
PR-04-01-02,JnNYL4I,"Respect patients’ rights, including their right to make decisions for themselves, and collaborate with multidisciplinary professionals and understand diverse values.",JnIA6wI
PR-04-01-03,JnNYL4M,"Express one’s own opinions on ethical issues in medical practice, analyzing them using ethics-based concepts.",JnIA6wI
GE-01-01-01,JkxpsrE,"Understand medical issues from a comprehensive, transdisciplinary perspective.",JnICKV8
GE-01-01-02,JkxpsrI,Understand the importance of involving appropriate medical institutions and departments.,JnICKV8
GE-01-01-03,JkxpsrM,"Use relevant core frameworks and heuristics (e.g., frequency, severity, urgency, anatomical approach, pathophysiological approach, dual process theory, prior probability) to perform clinical reasoning.",JnICKV8
GE-01-01-04,JkxpsrQ,"Conduct medical interviews, physical examinations, and tests as necessary for the patient’s presenting complaint.",JnICKV8
GE-01-01-05,JkxpsrU,Understand an overview of undiagnosed health problems and the appropriate methods of intervention.,JnICKV8
GE-01-01-06,JkxpsrY,Understand an overview of interventions for multiple co-morbidities and for diseases that affect multiple organs.,JnICKV8
GE-01-01-07,Jkxpsrc,Understand an overview of polypharmacy and related interventions.,JnICKV8
GE-01-02-01,Jkxpsrg,Understand comprehensive approaches to biopsychosocial problems.,JnICKWA
GE-01-02-02,Jkxpsrk,Understand approaches that take into account the impact on both the individual and family.,JnICKWA
GE-01-03-01,Jkxpsrw,"Elicit individual patients’ medical expectations, explanatory models, and health perspectives.",JnICKWI
GE-01-03-02,Jkxpsr0,"Understand the impact of the patient’s social background (e.g., economic and health system-related aspects) on their illness.",JnICKWI
GE-01-03-03,JkxpssA,"Understand an overview of the effects of continuity of medical care (e.g., time, information, relationships).",JnICKWI
GE-01-04-01,JkxpssE,List the five steps of EBM.,JnICKWM
GE-01-04-02,JkxpssI,"Define the clinical question using the PICO (PECO) framework (patient/population/problem, intervention (exposure), comparison, and outcome).",JnICKWM
GE-01-04-03,JkxpssM,Search for evidence from secondary sources such as databases and clinical guidelines.,JnICKWM
GE-01-04-04,JkxpssQ,Critically appraise the obtained evidence.,JnICKWM
GE-01-04-05,JkxpssU,"Understand the different types of clinical practice guidelines, the strength of the recommendations made, and pitfalls in their use.",JnICKWM
GE-01-04-06,Jkxpssc,Consider the application of evidence to patient care taking into account the patient’s unique values and circumstances.,JnICKWM
GE-01-05-01,Jkxpssg,"Apply knowledge, theories, and interviewing methods related to behavioral science to diagnosis, treatment, care, and prevention.",JnICKWU
GE-01-05-02,Jkxpssk,Recommend appropriate social support coordination and cognitive behavioral therapy as needed.,JnICKWU
GE-01-05-03,Jkxpsss,Apply behavioral economics to health care.,JnICKWU
GE-01-06-01,Jli5nRk,"Assess holistic suffering (physical, psychosocial, and spiritual) through an understanding of the concept of palliative care.",JnICKWY
GE-01-06-02,Jli5nRs,Understand an overview of pharmacological and non-pharmacological palliative measures for somatic symptoms in patients with and without cancer.,JnICKWY
GE-01-06-03,JmndeG4,"Plan for the management of pain and distress in the acute care setting, with an understanding of the importance of communication with the patient and family members regarding end-of-life care.",JnICKWY
GE-01-06-04,Jli5nRw,"Plan for the management of chronic diseases and chronic pain by understanding their pathophysiology, course, and treatment strategies.",JnICKWY
GE-01-06-05,Jli5nR4,"Plan to support the patient and family members in a way that takes into account their suffering and concerns, including appropriate assistance toward balancing care and schooling, working, and parenting.",JnICKWY
GE-02-01-01,Jkxpss0,Understand local and community health disparities and appropriately assess healthcare system issues such as barriers to accessing medical care.,JnICKWg
GE-02-01-02,Jkxpss4,Understand the relevance of a patient’s geographic and cultural context to health.,JnICKWg
GE-02-02-01,JkxpstA,"Understand an overview of the current distribution of health care and physicians (regional, departmental, and clinical/non-clinical) in terms of the local context (including urban, suburban, remote areas, and remote islands).",JnICKWk
GE-02-02-02,JkxpstE,Respond flexibly as a medical practitioner in a way that reflects the local medical system and the scale and function of its medical institutions.,JnICKWk
GE-02-02-03,JkxpstI,"Use indices such as incidence and prevalence of each disease in the area where the patient resides, and apply these in clinical reasoning.",JnICKWk
GE-02-02-04,JkxpstM,"Collect quantitative indicators (e.g., population composition) and qualitative information (geographical, historical, economic, and cultural contexts) for the community and explain local health issues.",JnICKWk
GE-02-02-05,JkxpstQ,Understand an overview of the significance of community health promotion activities undertaken in collaboration with local residents and healthcare professionals.,JnICKWk
GE-02-03-01,Jkxpstg,Propose medical care and services adapted to the local human and physical resources available.,JnICKWo
GE-02-03-02,Jkxpstk,"Understand an overview of medical care delivery systems and systems for nursing care, health care, and welfare in situations with limited medical resources, such as remote islands, remote areas, and areas with a shortage of physicians.",JnICKWo
GE-02-04-01,Jli5nR8,Understand the necessity for and challenges related to home care in terms of its current status and how it is adapted to meet patients’ needs.,JnICKWs
GE-02-04-02,Jli5nSE,Understand an overview of the nature of home-based end-of-life care and its challenges.,JnICKWs
GE-03-01-01,Jkxpstw,"Consider patient issues from the perspective of the life cycle (fetal, neonatal, infant, school-age, adolescent, young adult, mature adult, geriatric, and end-of-life stages).",JnICKW0
GE-03-01-02,Jkxpst0,Consider health management and environmental and lifestyle improvements from the perspective of life stages and life events.,JnICKW0
GE-03-01-03,Jkxpst4,"Identify problems between patients and family members (abuse, neglect, etc.) from the perspective of the family life cycle, family member relationships, and family systems.",JnICKW0
GE-03-02-01,Jkxpst8,Understand physical and physiological development in childhood.,JnICKW4
GE-03-02-02,JkxpsuA,Understand normal psychomotor development in childhood.,JnICKW4
GE-03-02-03,JkxpsuE,"Understand attachment formation, appropriate childcare methods, and nutrition in childhood.",JnICKW4
GE-03-02-04,JkxpsuI,"Understand nutritional characteristics in childhood, and nutritional education.",JnICKW4
GE-03-02-05,JkxpsuM,Understand the relationship between the development of immune systems and infectious diseases in childhood.,JnICKW4
GE-03-02-06,JkxpsuU,Understand the current status of and problems relating to the transition of medical care from childhood to adulthood.,JnICKW4
GE-03-03-01,JkxpsuY,Understand physiological characteristics of fetal circulation and respiration and their changes at birth.,JnICKXA
GE-03-03-02,Jkxpsuc,Understand the physiological characteristics of neonates and infants.,JnICKXA
GE-03-04-01,Jkxpsuk,Understand the mechanisms of puberty and secondary sexual characteristic development.,JnICKXE
GE-03-04-02,Jkxpsuo,"Understand issues associated with school age and adolescence (such as those related to school, friends, etc.).",JnICKXE
GE-03-04-03,Jkxpsus,"Understand issues related to adolescence and young adulthood (such as those related to reproduction, sanctity of life, etc.)",JnICKXE
