index,id,system,category,item,core
TBL-01-00-001,JlvnlXM,"Hematologic, hematopoietic, and lymphatic systems",Anemia,Iron-deficiency anemia,●
TBL-01-00-002,JlvnlYA,"Hematologic, hematopoietic, and lymphatic systems",Anemia,Hemorrhagic anemia,
TBL-01-00-003,JlvnlYE,"Hematologic, hematopoietic, and lymphatic systems",Anemia,Anemia in chronic kidney disease,
TBL-01-00-004,JuyvuDU,"Hematologic, hematopoietic, and lymphatic systems",Anemia,Secondary anemia,
TBL-01-00-005,JlvnlXY,"Hematologic, hematopoietic, and lymphatic systems",Anemia,Paroxysmal nocturnal hemoglobinuria,
TBL-01-00-006,JlvnlXg,"Hematologic, hematopoietic, and lymphatic systems",Anemia,Aplastic anemia,
TBL-01-00-007,JlvnlXs,"Hematologic, hematopoietic, and lymphatic systems",Anemia,Myelodysplastic syndrome,
TBL-01-00-008,JlvnlXw,"Hematologic, hematopoietic, and lymphatic systems",Anemia,Autoimmune hemolytic anemia,
TBL-01-00-009,JlvnlYM,"Hematologic, hematopoietic, and lymphatic systems",Anemia,Vitamin B12 deficiency anemia,●
TBL-01-00-010,JlvnlYQ,"Hematologic, hematopoietic, and lymphatic systems",Anemia,Folate deficiency anemia,
TBL-01-00-011,JlvnlYw,"Hematologic, hematopoietic, and lymphatic systems",Coagulopathy with bleeding tendency,Hypersplenism,
TBL-01-00-012,JlvnlYs,"Hematologic, hematopoietic, and lymphatic systems",Coagulopathy with bleeding tendency,Immune thrombocytopenic purpura (ITP),
TBL-01-00-013,JlvnlY8,"Hematologic, hematopoietic, and lymphatic systems",Coagulopathy with bleeding tendency,Hemophilia,
TBL-01-00-014,JlvnlZE,"Hematologic, hematopoietic, and lymphatic systems",Coagulopathy with bleeding tendency,Disseminated intravascular coagulation (DIC),●
TBL-01-00-015,JlvnlZI,"Hematologic, hematopoietic, and lymphatic systems",Coagulopathy with bleeding tendency,Hemolytic-uremic syndrome (HUS),
TBL-01-00-016,JlvnlZQ,"Hematologic, hematopoietic, and lymphatic systems",Coagulopathy with bleeding tendency,Thrombotic thrombocytopenic purpura (TTP),
TBL-01-00-017,JlvnlZY,"Hematologic, hematopoietic, and lymphatic systems",Coagulopathy with bleeding tendency,Vitamin K deficiency,
TBL-01-00-018,JlvnlZk,"Hematologic, hematopoietic, and lymphatic systems",Coagulopathy with thrombophilia,Protein C/protein S/and antithrombin deficiency,
TBL-01-00-019,JlvnlZo,"Hematologic, hematopoietic, and lymphatic systems",Coagulopathy with thrombophilia,Antiphospholipid antibody syndrome,
TBL-01-00-020,JlvnlZ0,"Hematologic, hematopoietic, and lymphatic systems",Coagulopathy with thrombophilia,Thrombotic thrombocytopenic purpura (TTP),
TBL-01-00-021,JlvnlZw,"Hematologic, hematopoietic, and lymphatic systems",Coagulopathy with thrombophilia,Hemolytic-uremic syndrome (HUS),
TBL-01-00-022,JlvnlZs,"Hematologic, hematopoietic, and lymphatic systems",Coagulopathy with thrombophilia,Disseminated intravascular coagulation (DIC),
TBL-01-00-023,Jlvnlbs,"Hematologic, hematopoietic, and lymphatic systems",Other important hematopoietic diseases,Agranulocytosis,
TBL-01-00-024,Jlvnlbw,"Hematologic, hematopoietic, and lymphatic systems",Other important hematopoietic diseases,Hemophagocytic syndrome,
TBL-01-00-025,Jlvnlb4,"Hematologic, hematopoietic, and lymphatic systems",Other important hematopoietic diseases,Graft-versus-host disease (GVHD),
TBL-01-00-026,JlvnlcA,Nervous system,Cerebrovascular disease,Cerebral hemorrhage,●
TBL-01-00-027,JlvnlcE,Nervous system,Cerebrovascular disease,Subarachnoid hemorrhage,●
TBL-01-00-028,JlvnlcQ,Nervous system,Cerebrovascular disease,Cerebral infarction,●
TBL-01-00-029,JlvnlcY,Nervous system,Cerebrovascular disease,Transient ischemic attack,●
TBL-01-00-030,Jlvnlcg,Nervous system,Cerebrovascular disease,Cerebral aneurysm,
TBL-01-00-031,Jlvnlck,Nervous system,Cerebrovascular disease,Cerebral arteriovenous malformation,
TBL-01-00-032,Jlvnlcs,Nervous system,Cerebrovascular disease,Moyamoya disease,
TBL-01-00-033,Jlvnlcw,Nervous system,"Infectious, inflammatory, and demyelinating diseases",Encephalitis/meningitis,●
TBL-01-00-034,Jlvnlc4,Nervous system,"Infectious, inflammatory, and demyelinating diseases",Encephalopathy,
TBL-01-00-035,Jlvnlc8,Nervous system,"Infectious, inflammatory, and demyelinating diseases",Brain abscess,
TBL-01-00-036,JlvnldE,Nervous system,"Infectious, inflammatory, and demyelinating diseases",Multiple sclerosis,●
TBL-01-00-037,JlvnldM,Nervous system,Dementia and degenerative diseases,Alzheimer’s disease,●
TBL-01-00-038,JlvnldQ,Nervous system,Dementia and degenerative diseases,Lewy body dementia,
TBL-01-00-039,JlvnldY,Nervous system,Dementia and degenerative diseases,Vascular dementia,
TBL-01-00-040,Jlvnldc,Nervous system,Dementia and degenerative diseases,Parkinson’s disease,●
TBL-01-00-041,Jlvnldk,Nervous system,Dementia and degenerative diseases,Amyotrophic lateral sclerosis,
TBL-01-00-042,Jlvnldo,Nervous system,Dementia and degenerative diseases,Multiple system atrophy,
TBL-01-00-043,Jlvnldw,Nervous system,"Peripheral nerve, neuromuscular junction, and musculoskeletal disorders",Nutritional deficiency neuropathy,
TBL-01-00-044,Jlvnld0,Nervous system,"Peripheral nerve, neuromuscular junction, and musculoskeletal disorders",Toxin-related neuropathy,
TBL-01-00-045,Jlvnld8,Nervous system,"Peripheral nerve, neuromuscular junction, and musculoskeletal disorders",Hereditary neuropathy,
TBL-01-00-046,JlvnleA,Nervous system,"Peripheral nerve, neuromuscular junction, and musculoskeletal disorders",Guillain-Barré syndrome,
TBL-01-00-047,JlvnleE,Nervous system,"Peripheral nerve, neuromuscular junction, and musculoskeletal disorders","Facial nerve palsy (Bell’s palsy, Ramsay Hunt syndrome)",
TBL-01-00-048,JlvnleI,Nervous system,"Peripheral nerve, neuromuscular junction, and musculoskeletal disorders",Recurrent laryngeal nerve palsy,
TBL-01-00-049,JlvnleQ,Nervous system,"Peripheral nerve, neuromuscular junction, and musculoskeletal disorders",Major neuralgias (trigeminal neuralgia and sciatica),
TBL-01-00-050,JlvnleU,Nervous system,"Peripheral nerve, neuromuscular junction, and musculoskeletal disorders",Myasthenia gravis,●
TBL-01-00-051,Jlvnlec,Nervous system,"Peripheral nerve, neuromuscular junction, and musculoskeletal disorders",Progressive muscular dystrophy,
TBL-01-00-052,Jlvnleg,Nervous system,"Peripheral nerve, neuromuscular junction, and musculoskeletal disorders",Periodic paralysis,
TBL-01-00-053,Jlvnleo,Nervous system,"Seizure-related, functional neurologic, or autonomic nervous system disorders",Generalized epilepsy,●
TBL-01-00-054,Jlvnles,Nervous system,"Seizure-related, functional neurologic, or autonomic nervous system disorders",Localization-related (focal) epilepsy,●
TBL-01-00-055,Jlvnle0,Nervous system,"Seizure-related, functional neurologic, or autonomic nervous system disorders",Migraine,●
TBL-01-00-056,Jlvnle8,Nervous system,"Seizure-related, functional neurologic, or autonomic nervous system disorders",Tension-type headache,●
TBL-01-00-057,JlvnlfA,Nervous system,Head injury,Cerebral contusion,
TBL-01-00-058,JlvnlfI,Nervous system,Head injury,Concussion,
TBL-01-00-059,JlvnlfU,Nervous system,Head injury,Acute extradural hematoma,●
TBL-01-00-060,JlvnlfY,Nervous system,Head injury,Subdural hematoma (acute/chronic),●
TBL-01-00-061,Jlvnlfg,Nervous system,Head injury,Skull fracture,
TBL-01-00-062,Jlvnlfo,Nervous system,Head injury,Post-concussion syndrome,
TBL-01-00-063,JlvnlgE,Dermatological system,Eczema and dermatitis,"Eczema (including the ‘eczema triangle’, a diagram mapping eczema progression)",●
TBL-01-00-064,Jlvnlmk,Dermatological system,Eczema and dermatitis,Pruritus with rash/prurigo,
TBL-01-00-065,JlvnlgM,Dermatological system,Eczema and dermatitis,Contact dermatitis,●
TBL-01-00-066,JlvnlgQ,Dermatological system,Eczema and dermatitis,Atopic dermatitis,●
TBL-01-00-067,JlvnlgY,Dermatological system,Eczema and dermatitis,Seborrheic eczema,
TBL-01-00-068,Jlvnlgg,Dermatological system,Eczema and dermatitis,Discoid eczema,
TBL-01-00-069,Jlvnlgk,Dermatological system,Eczema and dermatitis,Secondary erythroderma,
TBL-01-00-070,Jlvnlgs,Dermatological system,Eczema and dermatitis,Allergic urticaria,
TBL-01-00-071,Jlvnlg4,Dermatological system,"Urticaria, erythema, erythroderma, and pruritic rashes",Urticaria,●
TBL-01-00-072,JlvnlhE,Dermatological system,"Urticaria, erythema, erythroderma, and pruritic rashes",Erythema multiforme,
TBL-01-00-073,JlvnlhI,Dermatological system,"Urticaria, erythema, erythroderma, and pruritic rashes",Erythema nodosum,
TBL-01-00-074,JlvnlhQ,Dermatological system,"Urticaria, erythema, erythroderma, and pruritic rashes",Erythema annulare,
TBL-01-00-075,JlvnlhU,Dermatological system,"Urticaria, erythema, erythroderma, and pruritic rashes",Erythroderma,
TBL-01-00-076,Jlvnlhc,Dermatological system,"Urticaria, erythema, erythroderma, and pruritic rashes",Pruritus without rash,
TBL-01-00-077,Jlvnlh0,Dermatological system,Drug-related rashes,Generalized skin eruption due to drugs/fixed drug eruption,
TBL-01-00-078,Jlvnlh8,Dermatological system,Drug-related rashes,Stevens-Johnson syndrome,●
TBL-01-00-079,Juyvxe4,Dermatological system,Drug-related rashes,Toxic epidermal necrolysis (TEN),
TBL-01-00-080,JlvnliI,Dermatological system,Drug-related rashes,Drug-induced hypersensitivity syndrome (DIHS),
TBL-01-00-081,Jlvnlic,Dermatological system,Pustulosis,Palmoplantar pustulosis,
TBL-01-00-082,Jlvnlio,Dermatological system,Psoriasis keratosis,Psoriasis vulgaris,
TBL-01-00-083,Jlvnlis,Dermatological system,Psoriasis keratosis,Lichen planus,
TBL-01-00-084,Jlvnli0,Dermatological system,Psoriasis keratosis,Pityriasis rosea Gibert,
TBL-01-00-085,JlvnljA,Dermatological system,Skin infection,Impetigo,
TBL-01-00-086,JlvnljE,Dermatological system,Skin infection,Furuncles and carbuncles,
TBL-01-00-087,JlvnljM,Dermatological system,Skin infection,Folliculitis,
TBL-01-00-088,JlvnljY,Dermatological system,Skin infection,Erysipelas,
TBL-01-00-089,Jlvnljg,Dermatological system,Skin infection,Staphylococcal scalded skin syndrome (SSSS),
TBL-01-00-090,Jlvnljk,Dermatological system,Skin infection,Cellulitis,●
TBL-01-00-091,Jlvnljs,Dermatological system,Skin infection,Necrotizing fasciitis,
TBL-01-00-092,Jlvnljw,Dermatological system,Skin infection,Dermatomycosis (superficial and deep-seated),
TBL-01-00-093,Jlvnlj4,Dermatological system,Skin infection,Cutaneous mycobacterial infections,
TBL-01-00-094,Jlvnlj8,Dermatological system,Skin infection,Scabies,●
TBL-01-00-095,Jlvnlk8,Dermatological system,Skin infection,"Rashes occurring in the context of acquired immunodeficiency syndrome (AIDS) including syphilis, refractory herpes, molluscum contagiosum, Kaposi’s sarcoma etc.",●
TBL-01-00-096,JlvnlkE,Dermatological system,Skin infection,Herpes simplex virus,●
TBL-01-00-097,JlvnlkM,Dermatological system,Skin infection,Shingles,●
TBL-01-00-098,JlvnlkQ,Dermatological system,Skin infection,Verruca vulgaris,
TBL-01-00-099,JlvnlkY,Dermatological system,Skin infection,Molluscum contagiosum,
TBL-01-00-100,Jlvnlkc,Dermatological system,Skin infection,Measles,●
TBL-01-00-101,Jlvnlkk,Dermatological system,Skin infection,Rubella,●
TBL-01-00-102,Jlvnlko,Dermatological system,Skin infection,Chicken pox,●
TBL-01-00-103,Jlvnlkw,Dermatological system,Skin infection,Erythema infectiosum,
TBL-01-00-104,Jlvnlk0,Dermatological system,Skin infection,"Hand, foot, and mouth disease",
TBL-01-00-105,JlvnllE,Dermatological system,Hyperpigmented lesions,Mole,
TBL-01-00-106,Jlvnllg,Dermatological system,Disease of the nails and apocrine glands,Nail disorders (spoon-shaped nails and ingrown nails),
TBL-01-00-107,Jlvnllo,Dermatological system,Disease of the nails and apocrine glands,Miliaria,
TBL-01-00-108,Jlvnlls,Dermatological system,Disease of the nails and apocrine glands,Hyperhidrosis,
TBL-01-00-109,Jlvnll0,Dermatological system,Disease of the nails and apocrine glands,Anhidrosis,
TBL-01-00-110,Jlvnll4,Dermatological system,Other skin diseases,Acne vulgaris,
TBL-01-00-111,JlvnlmA,Dermatological system,Other skin diseases,Rosacea,
TBL-01-00-112,JlvnlmI,Dermatological system,Other skin diseases,Bedsores,●
TBL-01-00-113,JlvnlmM,Dermatological system,Other skin diseases,Keloid scarring,
TBL-01-00-114,JlvnlmU,Dermatological system,Other skin diseases,Epidermal cyst,
TBL-01-00-115,JlvnlmY,Dermatological system,Other skin diseases,Vitiligo vulgaris,
TBL-01-00-116,Jlvnlmg,Dermatological system,Other skin diseases,Pyoderma gangrenosum,
TBL-01-00-117,Jlvnlm4,Dermatological system,Other skin diseases,Injury from frostbite and electrocution,
TBL-01-00-118,Jlvnlm8,Musculoskeletal system,External wound,Limb and spine trauma,
TBL-01-00-119,Jlvnlpc,Musculoskeletal system,External wound,Spinal cord injury,●
TBL-01-00-120,Jlvnlnk,Musculoskeletal system,External wound,Bone fracture,●
TBL-01-00-121,JlvnlnE,Musculoskeletal system,External wound,Dislocation,
TBL-01-00-122,JlvnlnQ,Musculoskeletal system,External wound,"Tendon, ligament, and meniscal injuries",
TBL-01-00-123,Jlvnlno,Musculoskeletal system,External wound,"Muscle injury, traumatic rhabdomyolysis, and compartment syndrome",
TBL-01-00-124,JmpYuec,Musculoskeletal system,Sports injury,Pulled or torn muscle,
TBL-01-00-125,JmpYnGo,Musculoskeletal system,Sports injury,"Jammed finger (e.g., from injury with a ball)",
TBL-01-00-126,JlvnlpA,Musculoskeletal system,Strangulated peripheral nerve disorders,Thoracic outlet syndrome,
TBL-01-00-127,JlvnlpI,Musculoskeletal system,Strangulated peripheral nerve disorders,Carpal tunnel syndrome,
TBL-01-00-128,JlvnlpQ,Musculoskeletal system,Strangulated peripheral nerve disorders,"Cubital tunnel syndrome, etc.",
TBL-01-00-129,JlvnlqM,Musculoskeletal system,Infectious joint disease,Septic arthritis,
TBL-01-00-130,JlvnlqU,Musculoskeletal system,Infectious joint disease,Osteomyelitis,
TBL-01-00-131,JlvnlqY,Musculoskeletal system,Infectious joint disease,Intervertebral discitis/pyogenic spondylitis/Pott’s disease (spinal tuberculosis),
TBL-01-00-132,Jlvnlnw,Musculoskeletal system,Metabolic bone disease,Osteoporosis,●
TBL-01-00-133,Jlvnln4,Musculoskeletal system,Metabolic bone disease,Rickets/osteomalacia,
TBL-01-00-134,Jlvnlqk,Musculoskeletal system,Hereditary disease,Scoliosis,
TBL-01-00-135,Jlvnlqw,Musculoskeletal system,Hereditary disease,Clubfoot,
TBL-01-00-136,JlvnlrA,Musculoskeletal system,"Osteonecrosis, epiphyseal, and cartilage disorders",Idiopathic osteonecrosis of the femoral head,
TBL-01-00-137,JlvnlrQ,Musculoskeletal system,"Osteonecrosis, epiphyseal, and cartilage disorders",Osteochondritis dissecans,
TBL-01-00-138,JlvnlpU,Musculoskeletal system,Spine and disease of the spinal cord,"Spondylolisthesis, myelopathy, and radiculopathy, including ossification of spinal ligaments",
TBL-01-00-139,Jlvnlpg,Musculoskeletal system,Spine and disease of the spinal cord,Herniated intervertebral disc,●
TBL-01-00-140,Jlvnlpo,Musculoskeletal system,Spine and disease of the spinal cord,Spinal stenosis,●
TBL-01-00-141,Jlvnlps,Musculoskeletal system,Spine and disease of the spinal cord,Spondylolysis and spondylolisthesis,
TBL-01-00-142,JlvnloE,Musculoskeletal system,Synovitis and arthritis,Arthritis,
TBL-01-00-143,JlvnloI,Musculoskeletal system,Synovitis and arthritis,Tenosynovitis,
TBL-01-00-144,JlvnloQ,Musculoskeletal system,Synovitis and arthritis,Bursitis,
TBL-01-00-145,JlvnlnY,Musculoskeletal system,Other joint disorders,Contracture of the joint,
TBL-01-00-146,Jlvnloc,Musculoskeletal system,Other joint disorders,Osteoarthritis,●
TBL-01-00-147,Jlvnlok,Musculoskeletal system,Other joint disorders,Hallux valgus,
TBL-01-00-148,Jlvnloo,Musculoskeletal system,Other joint disorders,"Valgus and varus deformity of the knee, knee hyperextension",
TBL-01-00-149,Jlvnlo8,Musculoskeletal system,Other joint disorders,Neuropathic arthropathy,
TBL-01-00-150,JlvnlnM,Musculoskeletal system,Other joint disorders,Radial head subluxation/pulled elbow,
TBL-01-00-151,JmpYnGs,Musculoskeletal system,Other joint disorders,Lateral epicondylitis,
TBL-01-00-152,JlvnlqI,Musculoskeletal system,Chronic musculoskeletal pain,Shoulder periarthritis,
TBL-01-00-153,JlvnlqA,Musculoskeletal system,Chronic musculoskeletal pain,Adhesive capsulitis,
TBL-01-00-154,JuyvzIo,Musculoskeletal system,Disorders of the locomotor system (other),"Locomotive syndrome, an indicator of decline in physical function from locomotive disorders",
TBL-01-00-155,JuyvzIw,Musculoskeletal system,Disorders of the locomotor system (other),Sarcopenia,
TBL-01-00-156,Jlvnlrk,Cardiovascular system,Heart failure,Left heart failure,
TBL-01-00-157,Jlvnlro,Cardiovascular system,Heart failure,Right heart failure,
TBL-01-00-158,Jlvnlrw,Cardiovascular system,Heart failure,Acute heart failure,
TBL-01-00-159,Jlvnlr4,Cardiovascular system,Heart failure,Chronic heart failure,
TBL-01-00-160,Jlvnlr8,Cardiovascular system,Ischemic heart disease,Exertional angina,●
TBL-01-00-161,JlvnlsE,Cardiovascular system,Ischemic heart disease,Variant angina/Prinzmetal angina,●
TBL-01-00-162,JlvnlsI,Cardiovascular system,Ischemic heart disease,Unstable angina,●
TBL-01-00-163,JlvnlsQ,Cardiovascular system,Ischemic heart disease,Acute myocardial infarction,●
TBL-01-00-164,JlvnlsU,Cardiovascular system,Arrhythmia,Sick sinus syndrome,
TBL-01-00-165,Jlvnlsc,Cardiovascular system,Arrhythmia,Atrioventricular block,●
TBL-01-00-166,Jlvnlsg,Cardiovascular system,Arrhythmia,Atrial fibrillation,●
TBL-01-00-167,Jlvnlso,Cardiovascular system,Arrhythmia,Atrial flutter,●
TBL-01-00-168,Jlvnlsw,Cardiovascular system,Arrhythmia,Paroxysmal supraventricular tachycardia,●
TBL-01-00-169,Jlvnls0,Cardiovascular system,Arrhythmia,Ventricular tachycardia,●
TBL-01-00-170,Jlvnls8,Cardiovascular system,Arrhythmia,Multisource ventricular tachycardia (torsades de pointes),
TBL-01-00-171,JlvnltA,Cardiovascular system,Arrhythmia,Ventricular fibrillation,●
TBL-01-00-172,JlvnltI,Cardiovascular system,Arrhythmia,Extrasystoles (supraventricular and ventricular),●
TBL-01-00-173,JlvnltU,Cardiovascular system,Arrhythmia,Wolff-Parkinson-White (WPW) syndrome,
TBL-01-00-174,Jlvnltc,Cardiovascular system,Arrhythmia,Brugada syndrome,
TBL-01-00-175,Jlvnltg,Cardiovascular system,Valvular disease,Mitral valve disease (stenosis and regurgitation),●
TBL-01-00-176,Jlvnlts,Cardiovascular system,Valvular disease,Aortic valve disease (stenosis and regurgitation),●
TBL-01-00-177,Jlvnlt4,Cardiovascular system,Valvular disease,Tricuspid regurgitation,
TBL-01-00-178,JlvnluA,Cardiovascular system,Myocardial and pericardial disease,"Idiopathic cardiomyopathy (hypertrophic, dilated, restrictive)",●
TBL-01-00-179,JlvnluU,Cardiovascular system,Myocardial and pericardial disease,Secondary myocardial disease,
TBL-01-00-180,JlvnluY,Cardiovascular system,Myocardial and pericardial disease,Acute myocarditis,●
TBL-01-00-181,Jlvnlug,Cardiovascular system,Myocardial and pericardial disease,Infective endocarditis,●
TBL-01-00-182,Jlvnluk,Cardiovascular system,Myocardial and pericardial disease,Acute pericarditis,
TBL-01-00-183,Jlvnlus,Cardiovascular system,Myocardial and pericardial disease,Constrictive pericarditis,
TBL-01-00-184,Jlvnluw,Cardiovascular system,Myocardial and pericardial disease,Pericardial tamponade,
TBL-01-00-185,Jlvnlu4,Cardiovascular system,Congenital heart disease,Atrial septal defect,
TBL-01-00-186,Jlvnlu8,Cardiovascular system,Congenital heart disease,Ventricular septal defect,
TBL-01-00-187,JlvnlvE,Cardiovascular system,Congenital heart disease,Patent ductus arteriosus,
TBL-01-00-188,JlvnlvM,Cardiovascular system,Congenital heart disease,Tetralogy of Fallot,
TBL-01-00-189,JlvnlvQ,Cardiovascular system,Arterial disease,Arteriosclerosis,
TBL-01-00-190,JlvnlvY,Cardiovascular system,Arterial disease,Acute aortic dissection,●
TBL-01-00-191,Jlvnlvc,Cardiovascular system,Arterial disease,Aortic aneurysm (thoracic and abdominal),●
TBL-01-00-192,Jlvnlvk,Cardiovascular system,Arterial disease,Arteriosclerosis obliterans,●
TBL-01-00-193,Jlvnlvo,Cardiovascular system,Arterial disease,Buerger’s disease,
TBL-01-00-194,Jlvnlvw,Cardiovascular system,Arterial disease,Takayasu arteritis (aortitis syndrome),
TBL-01-00-195,Jlvnlv0,Cardiovascular system,Venous and lymphatic vessel diseases,Deep vein thrombosis,●
TBL-01-00-196,JlvnlwE,Cardiovascular system,Venous and lymphatic vessel diseases,Superior vena cava syndrome,
TBL-01-00-197,JlvnlwI,Cardiovascular system,Venous and lymphatic vessel diseases,Varicose veins of the lower extremities,●
TBL-01-00-198,JlvnlwQ,Cardiovascular system,Venous and lymphatic vessel diseases,Lymphedema,
TBL-01-00-199,JlvnlwU,Cardiovascular system,Hypertension,Hypertension (essential/secondary),
TBL-01-00-200,Jlvnlwg,Cardiovascular system,Hypertension,Hypertensive crisis,
TBL-01-00-201,Jlvnlwo,Cardiovascular system,Hypotension,Orthostatic hypotension,●
TBL-01-00-202,Jlvnlws,Cardiovascular system,Hypotension,Reflex syncope (vasovagal/neurally mediated syncope),
TBL-01-00-203,Jlvnlw8,Respiratory system,Respiratory failure,Hypoxemia and hypercapnia,
TBL-01-00-204,JlvnlxA,Respiratory system,Respiratory infection,Acute upper respiratory tract infection,●
TBL-01-00-205,JlvnlxI,Respiratory system,Respiratory infection,Tonsillitis,●
TBL-01-00-206,JlvnlxM,Respiratory system,Respiratory infection,Bronchitis,●
TBL-01-00-207,JlvnlxU,Respiratory system,Respiratory infection,Bronchiolitis,
TBL-01-00-208,Jlvnlxc,Respiratory system,Respiratory infection,Pneumonia (typical and atypical),●
TBL-01-00-209,Jlvnlxg,Respiratory system,Respiratory infection,Pulmonary tuberculosis,●
TBL-01-00-210,Jlvnlxo,Respiratory system,Respiratory infection,Non-tuberculous mycobacteriosis,
TBL-01-00-211,Jlvnlxs,Respiratory system,Respiratory infection,Pneumomycosis,
TBL-01-00-212,Jlvnlx0,Respiratory system,Respiratory infection,Aspiration pneumonia,
TBL-01-00-213,Jlvnlx4,Respiratory system,Respiratory infection,Pulmonary suppuration and pyothorax,
TBL-01-00-214,JlvnlyA,Respiratory system,Respiratory infection,Croup,
TBL-01-00-215,JlvnlyE,Respiratory system,Obstructive and restrictive ventilatory disorders,Chronic obstructive pulmonary disease (COPD),●
TBL-01-00-216,JlvnlyM,Respiratory system,Obstructive and restrictive ventilatory disorders,Bullous emphysema (bullae and blebs),
TBL-01-00-217,JlvnlyQ,Respiratory system,Obstructive and restrictive ventilatory disorders,Bronchial asthma (including cough variant asthma),●
TBL-01-00-218,JlvnlyY,Respiratory system,Obstructive and restrictive ventilatory disorders,Idiopathic interstitial pneumonia,
TBL-01-00-219,Jlvnlyc,Respiratory system,Obstructive and restrictive ventilatory disorders,Interstitial pneumonia associated with collagen and vascular disease,
TBL-01-00-220,Jlvnlyw,Respiratory system,Obstructive and restrictive ventilatory disorders,Pulmonary silicosis,
TBL-01-00-221,Jlvnly4,Respiratory system,Obstructive and restrictive ventilatory disorders,Asbestosis,
TBL-01-00-222,Jlvnlyk,Respiratory system,Obstructive and restrictive ventilatory disorders,Diffuse panbronchiolitis,
TBL-01-00-223,Jlvnlys,Respiratory system,Obstructive and restrictive ventilatory disorders,Radiation pneumonitis,
TBL-01-00-224,Jlvnly8,Respiratory system,Pulmonary vascular disorders,Cor pulmonale,
TBL-01-00-225,JlvnlzI,Respiratory system,Pulmonary vascular disorders,Pulmonary thromboembolism,●
TBL-01-00-226,JlvnlzQ,Respiratory system,Pulmonary vascular disorders,Pulmonary hypertension (primary/secondary),
TBL-01-00-227,Jlvnlzk,Respiratory system,Immune-mediated lung disorders,Hypersensitivity pneumonia,
TBL-01-00-228,Jlvnlzo,Respiratory system,Immune-mediated lung disorders,Sarcoidosis,
TBL-01-00-229,Jlvnlzw,Respiratory system,Immune-mediated lung disorders,Eosinophilic pneumonia,
TBL-01-00-230,Jlvnlz0,Respiratory system,Immune-mediated lung disorders,Drug-induced pneumonia,
TBL-01-00-231,Jlvnlz8,Respiratory system,Immune-mediated lung disorders,Allergic bronchopulmonary aspergillosis (ABPA),
TBL-01-00-232,Jlvnl0A,Respiratory system,Abnormal respiration,Hyperventilation syndrome,
TBL-01-00-233,Jlvnl0I,Respiratory system,Abnormal respiration,Sleep apnea,●
TBL-01-00-234,Jlvnl0U,Respiratory system,Lung disease caused by other mechanisms,Bronchiectasis,
TBL-01-00-235,Jlvnl0c,Respiratory system,Lung disease caused by other mechanisms,Atelectasis,
TBL-01-00-236,JlvnlzE,Respiratory system,Lung disease caused by other mechanisms,Acute respiratory distress syndrome (ARDS),●
TBL-01-00-237,Jlvnl0g,Respiratory system,Lung disease caused by other mechanisms,infantile respiratory distress syndrome (IRDS),
