index,id,category,item
TBL-02-05-001,JlAKpeQ,Structure and function,"Structure of the heart and characteristics and distribution of blood vessels, nerves, and coronary arteries"
TBL-02-05-002,JlAKpeU,Structure and function,Microstructure and function of cardiomyocytes
TBL-02-05-003,JlAKpeY,Structure and function,"Electrical phenomena of cardiomyocytes, and conduction system of the heart"
TBL-02-05-004,JlAKpec,Structure and function,Excitation contraction coupling
TBL-02-05-005,JlAKpeg,Structure and function,"Systemic circulation, pulmonary circulation, and fetal and placental circulation"
TBL-02-05-006,JlAKpek,Structure and function,"Aorta and major branches (head and neck, upper extremities, chest, abdomen, and lower extremities)"
TBL-02-05-007,JlAKpeo,Structure and function,"Major veins, portal system, and superior and inferior vena cava system"
TBL-02-05-008,JlAKpes,Structure and function,Solute and water exchange in capillary blood vessels
TBL-02-05-009,JlAKpew,Structure and function,Lymphatic flow via the thoracic duct
TBL-02-05-010,JlAKpe0,Structure and function,Hemodynamics associated with the cardiac cycle
TBL-02-05-011,JlAKpe4,Structure and function,Regulatory mechanisms of the cardiac function curve and cardiac output
TBL-02-05-012,JlAKpe8,Structure and function,"Regulatory circulation of major organs (brain, heart, lungs, kidneys)"
TBL-02-05-013,JlAKpfA,Structure and function,Mechanisms of blood pressure regulation
TBL-02-05-014,JlAKpfE,Structure and function,Circulatory responses for positions and movement and their mechanisms
TBL-02-05-015,JlAKpfg,Symptoms,Weight gain
TBL-02-05-016,JlAKpfk,Symptoms,Altered mental status
TBL-02-05-017,JlAKpfo,Symptoms,Syncope
TBL-02-05-018,JlAKpfc,Symptoms,Edema
TBL-02-05-019,JlAKpfY,Symptoms,Cough and sputum production
TBL-02-05-020,JlAKpfU,Symptoms,Dyspnea
TBL-02-05-021,JlAKpfI,Symptoms,Chest pain
TBL-02-05-022,JlAKpfQ,Symptoms,Palpitations
TBL-02-05-023,JlAKpfM,Symptoms,Back pain
TBL-02-05-024,JlAKpfs,Symptoms,Pleural fluid
TBL-02-05-025,JlAKpfw,Methods of examination,Plain chest X-ray
TBL-02-05-026,JlAKpf0,Methods of examination,"Electrocardiogram (ECG) (resting, exercise ECG, and Holter ECG)"
TBL-02-05-027,JlAKpf4,Methods of examination,Echocardiography
TBL-02-05-028,JlAKpf8,Methods of examination,Cardiac scintigraphy
TBL-02-05-029,JlAKpgA,Methods of examination,"Coronary angiography, coronary CT, MRI"
TBL-02-05-030,JlAKpgE,Methods of examination,"Cardiac catheterization (measurement of intracardiac pressure, cardiac function, and shunt fraction)"
TBL-02-05-031,JlAKpgI,Specific therapies,"Revascularization for ischemic heart disease (percutaneous coronary angioplasty, stent placement, coronary artery bypass graft (CABG))"
TBL-02-05-032,JlAKpgM,Specific therapies,"Non-pharmacologic therapy for arrhythmia (catheter ablation, electrical defibrillation, pacemaker implantation, and implantable cardioverter-defibrillator (ICD))"
TBL-02-05-033,JlAKpgQ,Specific therapies,Cardiac disease management programs including cardiac rehabilitation
