index,id,item
TBL-06-00-001,JkxirwY,Full blood count
TBL-06-00-002,Jli6WW4,Blood biochemistry
TBL-06-00-003,Jli6WW8,Coagulation/fibrinolysis
TBL-06-00-004,Jli6WXE,Immunoserology tests
TBL-06-00-005,Jli6WXI,Urinalysis
TBL-06-00-006,Jli6WXQ,Stool (fecal) examination
TBL-06-00-007,Jkxir08,"Blood typing (ABO, RhD), blood compatibility test (cross-matching), atypical antibody screening"
TBL-06-00-008,JkxirxY,Arterial blood gas analysis
TBL-06-00-009,Jkxiryk,Pregnancy test
TBL-06-00-010,JkxirxU,"Microbiological tests (bacterial smear, culture, identification, antibiotic sensitivity test)"
TBL-06-00-011,Jkxirxc,Cerebrospinal fluid
TBL-06-00-012,Jli6TOw,Pleural fluid analysis
TBL-06-00-013,Jli6TO0,Peritoneal fluid analysis
TBL-06-00-014,Jkxirwk,Histopathology and cytology (including intraoperative rapid diagnosis)
TBL-06-00-015,Jkxirwg,Genetic testing and chromosome analysis
TBL-06-00-016,JkxirxQ,ECG
TBL-06-00-017,Jli6Y7U,Lung function tests
TBL-06-00-018,Jli6Y7Y,Endocrine and metabolic function tests
TBL-06-00-019,Jli6Y7c,Electroencephalography
TBL-06-00-020,JkxirxA,Ultrasound
TBL-06-00-021,Jkxirw4,X-ray
TBL-06-00-022,Jli6aBM,CT
TBL-06-00-023,Jli6aBU,MRI
TBL-06-00-024,Jkxirxk,Nuclear medicine examination
TBL-06-00-025,Jkxirw8,Endoscopy
